# RunNumber Energy Ei Chopper Chopper1 Chopper2 Chopper3 Height FWHM Sigma Q
0.000000000000000000e+00 1.075200000000000000e+05 2.000000000000000000e+02 2.024735006495907896e+02 1.000000000000000000e+00 1.200000000000000000e+02 1.200000000000000000e+02 6.000000000000000000e+01 1.353731425916814175e-02 3.502791561237886242e+01 1.487384951693369928e+01 6.930209875106811523e+00
0.000000000000000000e+00 1.075210000000000000e+05 2.500000000000000000e+02 2.531142587191583289e+02 1.000000000000000000e+00 1.200000000000000000e+02 1.200000000000000000e+02 6.000000000000000000e+01 9.543706651027477478e-03 4.707925212176473906e+01 1.999118986062196868e+01 7.748490869998931885e+00
0.000000000000000000e+00 1.075220000000000000e+05 3.000000000000000000e+02 3.036226481923495726e+02 1.000000000000000000e+00 1.200000000000000000e+02 1.200000000000000000e+02 6.000000000000000000e+01 7.740453037355297244e-03 5.890279374931492384e+01 2.501180201669423653e+01 8.486736019452413515e+00
0.000000000000000000e+00 1.075230000000000000e+05 4.000000000000000000e+02 4.066423742229620188e+02 1.000000000000000000e+00 1.200000000000000000e+02 1.200000000000000000e+02 6.000000000000000000e+01 5.861987704827680522e-03 8.376832908993154092e+01 3.557041574944014428e+01 9.817587037881216006e+00
0.000000000000000000e+00 1.075240000000000000e+05 5.000000000000000000e+02 5.095223388309743200e+02 1.000000000000000000e+00 1.200000000000000000e+02 1.200000000000000000e+02 6.000000000000000000e+01 4.573555829944815979e-03 1.085282581709979581e+02 4.608418605987174743e+01 1.098718267679214478e+01
0.000000000000000000e+00 1.075250000000000000e+05 6.000000000000000000e+02 6.108663004687530247e+02 1.000000000000000000e+00 1.200000000000000000e+02 1.200000000000000000e+02 6.000000000000000000e+01 3.760699790067345040e-03 1.356123187040577704e+02 5.758484870660627308e+01 1.203133018811543842e+01
0.000000000000000000e+00 1.075260000000000000e+05 7.000000000000000000e+02 7.162672741016518785e+02 1.000000000000000000e+00 1.200000000000000000e+02 1.200000000000000000e+02 6.000000000000000000e+01 3.181844292392544717e-03 1.618764039469737099e+02 6.873732651676165517e+01 1.302212884028752704e+01
0.000000000000000000e+00 1.075270000000000000e+05 8.000000000000000000e+02 8.178246446653726025e+02 1.000000000000000000e+00 1.200000000000000000e+02 1.200000000000000000e+02 6.000000000000000000e+01 2.751825940964966813e-03 1.946422654303635227e+02 8.265064349484650563e+01 1.391589254140853882e+01
0.000000000000000000e+00 1.075280000000000000e+05 9.000000000000000000e+02 9.215262327846390917e+02 1.000000000000000000e+00 1.200000000000000000e+02 1.200000000000000000e+02 6.000000000000000000e+01 2.375134078755344793e-03 2.313030844289418724e+02 9.821787024583518644e+01 1.476972693204879761e+01
0.000000000000000000e+00 1.075290000000000000e+05 1.000000000000000000e+03 1.025223886483991691e+03 1.000000000000000000e+00 1.200000000000000000e+02 1.200000000000000000e+02 6.000000000000000000e+01 2.151196010968242991e-03 2.645077627128755466e+02 1.123175213218155193e+02 1.557680445909500122e+01
0.000000000000000000e+00 1.075300000000000000e+05 1.200000000000000000e+03 1.231857943364118228e+03 1.000000000000000000e+00 1.200000000000000000e+02 1.200000000000000000e+02 6.000000000000000000e+01 1.766771861878724086e-03 3.424565082552369404e+02 1.454167763291876554e+02 1.707257902622222900e+01
0.000000000000000000e+00 1.075310000000000000e+05 1.500000000000000000e+03 1.563261877319462656e+03 1.000000000000000000e+00 1.200000000000000000e+02 1.200000000000000000e+02 6.000000000000000000e+01 1.394046759122666550e-03 4.658520394412166752e+02 1.978140294867162083e+02 1.920661775271097937e+01
0.000000000000000000e+00 1.075320000000000000e+05 1.800000000000000000e+03 1.854306106405718083e+03 1.000000000000000000e+00 1.200000000000000000e+02 1.200000000000000000e+02 6.000000000000000000e+01 1.174073673507846803e-03 5.952322601562348154e+02 2.527525520833268899e+02 2.093981401125590125e+01
0.000000000000000000e+00 1.075330000000000000e+05 2.000000000000000000e+03 1.979579329531273970e+03 1.000000000000000000e+00 1.200000000000000000e+02 1.200000000000000000e+02 6.000000000000000000e+01 1.158526634155987705e-03 6.374245441090619124e+02 2.706685962246547206e+02 2.171411657333374023e+01
0.000000000000000000e+00 1.075340000000000000e+05 1.500000000000000000e+01 1.508366688047732040e+01 1.000000000000000000e+00 2.400000000000000000e+02 1.200000000000000000e+02 6.000000000000000000e+01 7.137213554860362408e-03 5.128446739362413354e-01 2.177684390387436553e-01 1.892695382237434387e+00
0.000000000000000000e+00 1.075350000000000000e+05 2.000000000000000000e+01 2.015074740531119701e+01 1.000000000000000000e+00 2.400000000000000000e+02 1.200000000000000000e+02 6.000000000000000000e+01 6.104767812830425716e-02 7.052761591859191270e-01 2.994803223719401664e-01 2.187237878640492905e+00
0.000000000000000000e+00 1.075360000000000000e+05 3.000000000000000000e+01 3.026568839489724994e+01 1.000000000000000000e+00 2.400000000000000000e+02 1.200000000000000000e+02 6.000000000000000000e+01 1.734565409286171755e-01 1.271158912585658385e+00 5.397702388898761861e-01 2.680243104696273804e+00
0.000000000000000000e+00 1.075370000000000000e+05 4.000000000000000000e+01 4.037912883917631746e+01 1.000000000000000000e+00 2.400000000000000000e+02 1.200000000000000000e+02 6.000000000000000000e+01 2.144404216019428211e-01 1.978577313119686210e+00 8.401602178852171088e-01 3.095658908287683975e+00
0.000000000000000000e+00 1.075380000000000000e+05 5.000000000000000000e+01 5.052436124612098212e+01 1.000000000000000000e+00 2.400000000000000000e+02 1.200000000000000000e+02 6.000000000000000000e+01 2.101967628458968618e-01 2.778839868536717717e+00 1.179974466469943861e+00 3.462467819452285767e+00
