Run,Ei,Fermi,Height,Center,Sigma,Integral,Hnorm180,Inorm180,FWHM,% of Ei
HYS_43153,5,30,11.79381778,-0.02819099,0.26590572,8.215731115,1.302047574,4.885040035,0.624878442,12%
HYS_43154,5,60,11.43446689,-0.014094176,0.17275589,5.057569703,1.262374929,3.007210208,0.405976342,8%
HYS_43155,5,120,10.42606135,-0.028575788,0.097899252,2.565036974,1.151046094,1.525160468,0.230063242,5%
HYS_43156,5,180,9.057900812,-0.038227549,0.074120199,1.68181449,1,1,0.174182469,3%
HYS_43157,5,240,7.988713567,-0.036131228,0.063103367,1.269574413,0.881960813,0.75488374,0.148292913,3%
HYS_43158,5,300,7.103919943,-0.036014896,0.055733557,1.001525855,0.78427884,0.595503167,0.130973859,3%
HYS_43159,5,420,5.601531519,-0.038755658,0.049443795,0.705684618,0.618413873,0.41959718,0.116192918,2%
HYS_43160,6,30,14.94209121,-0.066736833,0.338094683,13.19558989,1.30954506,4.853158226,0.794522504,13%
HYS_43161,6,60,14.45114932,-0.033030884,0.220233191,8.085815368,1.26651825,2.973852755,0.517547998,9%
HYS_43162,6,120,13.05084002,-0.038292847,0.126146218,4.130314256,1.143793251,1.519073324,0.296443612,5%
HYS_43163,6,180,11.41013903,-0.049572669,0.09525215,2.718969644,1,1,0.223842552,4%
HYS_43164,6,240,10.11772422,-0.043276495,0.079832521,2.036252754,0.88673102,0.748906027,0.187606424,3%
